id,홍,태훈,수환,철승,result,,,,
00420.png,3,3,3,3,OK,,,,
00421.png,4,4,4,4,OK,,,,
00422.png,19,19,19,19,OK,,,,
00423.png,9,9,9,9,OK,,,,
00424.png,10,10,10,10,OK,,,,
00425.png,13,13,13,13,OK,,,,
00426.png,13,13,13,13,OK,,,,
00427.png,20,20,20,20,OK,,,,
00428.png,38,38,38,38,OK,,,,
00429.png,34,34,34,34,OK,,,,
00430.png,11,11,11,11,OK,,,,
00431.png,13,13,13,13,OK,,,,
00432.png,34,34,34,34,OK,,,,
00433.png,34,34,34,34,OK,,,,
00434.png,12,12,12,12,OK,,,,
00435.png,6,6,6,6,OK,,,,
00436.png,10,10,10,10,OK,,,,
00437.png,10,10,10,10,OK,,,,
00438.png,8,8,8,8,OK,,,,
00439.png,3,3,3,3,OK,,,,
00440.png,22,22,22,22,OK,,,,
00441.png,17,17,17,17,OK,,,,
00442.png,7,7,7,7,OK,,,,
00443.png,30,30,30,30,OK,,,,
00444.png,25,25,25,25,OK,,,,
00445.png,1,1,1,1,OK,,,,
00446.png,31,31,31,31,OK,,,,
00447.png,38,38,38,38,OK,,,,
00448.png,38,38,38,38,OK,,,,
00449.png,8,8,8,8,OK,,,,
00450.png,9,9,9,9,OK,,,,
00451.png,10,10,10,10,OK,,,,
00452.png,2,2,2,2,OK,,,,
00453.png,40,40,40,40,OK,,,,
00454.png,1,1,1,1,OK,,,,
00455.png,38,38,38,38,OK,,,,
00456.png,14,14,14,14,OK,,,,
00457.png,8,8,8,8,OK,,,,
00458.png,39,39,39,39,OK,,,,
00459.png,6,6,6,6,OK,,,,
00460.png,35,35,35,35,OK,,,,
00461.png,25,25,25,25,OK,,,,
00462.png,25,25,25,25,OK,,,,
00463.png,17,17,17,17,OK,,,,
00464.png,2,2,2,2,OK,,,,
00465.png,38,38,38,38,OK,,,,
00466.png,7,7,7,7,OK,,,,
00467.png,13,13,13,13,OK,,,,
00468.png,14,14,14,14,OK,,,,
00469.png,7,7,7,7,OK,,,,
00470.png,8,8,8,8,OK,,,,
00471.png,35,35,35,35,OK,,,,
00472.png,3,3,3,3,OK,,,,
00473.png,1,1,1,1,OK,,,,
00474.png,35,35,35,35,OK,,,,
00475.png,12,12,12,12,OK,,,,
00476.png,35,35,35,35,OK,,,,
00477.png,36,36,36,36,OK,,,,
00478.png,24,24,24,24,OK,,,,
00479.png,13,13,13,13,OK,,,,
00480.png,33,33,33,33,OK,,,,
00481.png,2,2,2,2,OK,,,,
00482.png,35,35,35,35,OK,,,,
00483.png,6,6,6,6,OK,,,,
00484.png,2,2,2,2,OK,,,,
00485.png,10,10,10,10,OK,,,,
00486.png,12,12,12,12,OK,,,,
00487.png,31,31,31,31,OK,,,,
00488.png,9,9,9,9,OK,,,,
00489.png,14,14,14,14,OK,,,,
00490.png,17,17,17,17,OK,,,,
00491.png,26,26,26,26,OK,,,,
00492.png,7,7,7,2,KO,,,,
00493.png,3,3,3,3,OK,,,,
00494.png,10,10,10,10,OK,,,,
00495.png,5,5,5,5,OK,,,,
00496.png,11,11,11,11,OK,,,,
00497.png,9,9,9,9,OK,,,,
00498.png,31,31,31,31,OK,,,,
00499.png,40,40,40,40,OK,,,,
00500.png,22,22,22,22,OK,,,,
00501.png,30,30,30,30,OK,,,,
00502.png,9,9,9,9,OK,,,,
00503.png,7,7,7,7,OK,,,,
00504.png,23,23,23,23,OK,,,,
00505.png,4,4,4,4,OK,,,,
00506.png,32,32,32,32,OK,,,,
00507.png,42,42,42,42,OK,,,,
00508.png,1,1,1,1,OK,,,,
00509.png,3,3,3,3,OK,,,,
00510.png,8,8,8,8,OK,,,,
00511.png,2,2,2,2,OK,,,,
00512.png,25,25,25,25,OK,,,,
00513.png,22,22,22,25,KO,,,,
00514.png,38,38,38,38,OK,,,,
00515.png,33,33,33,33,OK,,,,
00516.png,3,3,3,3,OK,,,,
00517.png,1,1,1,1,OK,,,,
00518.png,8,8,8,8,OK,,,,
00519.png,4,4,4,4,OK,,,,
00520.png,18,18,18,18,OK,,,,
00521.png,26,26,26,26,OK,,,,
00522.png,31,31,31,31,OK,,,,
00523.png,14,14,14,14,OK,,,,
00524.png,11,11,11,11,OK,,,,
00525.png,13,13,13,13,OK,,,,
00526.png,3,3,3,3,OK,,,,
00527.png,5,5,5,5,OK,,,,
00528.png,18,18,18,18,OK,,,,
00529.png,4,4,4,4,OK,,,,
00530.png,13,13,13,13,OK,,,,
00531.png,15,15,15,15,OK,,,,
00532.png,23,23,23,23,OK,,,,
00533.png,1,1,1,1,OK,,,,
00534.png,12,12,12,12,OK,,,,
00535.png,31,31,31,31,OK,,,,
00536.png,38,38,38,38,OK,,,,
00537.png,6,6,6,6,OK,,,,
00538.png,10,10,10,10,OK,,,,
00539.png,35,35,35,35,OK,,,,
00540.png,8,8,8,8,OK,,,,
00541.png,6,6,6,6,OK,,,,
00542.png,5,5,5,5,OK,,,,
00543.png,12,12,12,12,OK,,,,
00544.png,4,4,4,4,OK,,,,
00545.png,1,1,1,1,OK,,,,
00546.png,1,1,1,1,OK,,,,
00547.png,1,1,1,1,OK,,,,
00548.png,12,12,12,12,OK,,,,
00549.png,12,12,12,12,OK,,,,
00550.png,2,2,4,2,KO,,,,
00551.png,5,5,5,5,OK,,,,
00552.png,9,9,9,9,OK,,,,
00553.png,13,13,13,13,OK,,,,
00554.png,38,38,38,38,OK,,,,
00555.png,4,4,4,4,OK,,,,
00556.png,13,13,13,13,OK,,,,
00557.png,8,8,8,8,OK,,,,
00558.png,13,13,13,13,OK,,,,
00559.png,24,24,24,24,OK,,,,
00560.png,17,17,17,17,OK,,,,
00561.png,10,10,10,10,OK,,,,
00562.png,10,10,10,10,OK,,,,
00563.png,18,18,18,18,OK,,,,
00564.png,12,12,12,12,OK,,,,
00565.png,23,23,23,23,OK,,,,
00566.png,10,10,10,10,OK,,,,
00567.png,10,10,10,10,OK,,,,
00568.png,1,1,1,1,OK,,,,
00569.png,23,23,23,23,OK,,,,
00570.png,3,3,3,3,OK,,,,
00571.png,8,8,8,8,OK,,,,
00572.png,41,41,41,41,OK,,,,
00573.png,6,6,6,6,OK,,,,
00574.png,13,13,13,13,OK,,,,
00575.png,33,33,33,33,OK,,,,
00576.png,3,3,3,3,OK,,,,
00577.png,2,2,2,2,OK,,,,
00578.png,13,13,13,13,OK,,,,
00579.png,0,0,0,0,OK,,,,
00580.png,17,17,17,17,OK,,,,
00581.png,10,10,10,10,OK,,,,
00582.png,7,7,7,7,OK,,,,
00583.png,1,1,1,1,OK,,,,
00584.png,35,35,35,35,OK,,,,
00585.png,10,10,10,10,OK,,,,
00586.png,2,2,2,2,OK,,,,
00587.png,30,30,30,30,OK,,,,
00588.png,5,5,5,5,OK,,,,
00589.png,5,5,5,5,OK,,,,
00590.png,35,35,35,35,OK,,,,
00591.png,13,13,13,13,OK,,,,
00592.png,16,16,16,16,OK,,,,
00593.png,17,17,17,17,OK,,,,
00594.png,11,11,11,11,OK,,,,
00595.png,3,3,3,3,OK,,,,
00596.png,4,4,4,4,OK,,,,
00597.png,29,29,29,29,OK,,,,
00598.png,2,2,2,2,OK,,,,
00599.png,26,26,26,26,OK,,,,
00600.png,2,2,2,2,OK,,,,
00601.png,11,11,11,11,OK,,,,
00602.png,4,4,4,4,OK,,,,
00603.png,19,19,19,19,OK,,,,
00604.png,3,3,3,3,OK,,,,
00605.png,9,9,9,9,OK,,,,
00606.png,7,7,7,7,OK,,,,
00607.png,38,38,38,38,OK,,,,
00608.png,28,28,28,28,OK,,,,
00609.png,9,9,9,9,OK,,,,
00610.png,27,27,27,27,OK,,,,
00611.png,41,41,41,41,OK,,,,
00612.png,1,1,1,1,OK,,,,
00613.png,29,29,29,29,OK,,,,
00614.png,11,11,11,11,OK,,,,
00615.png,10,10,10,10,OK,,,,
00616.png,25,25,25,25,OK,,,,
00617.png,1,1,1,1,OK,,,,
00618.png,10,10,10,10,OK,,,,
00619.png,38,38,38,38,OK,,,,
00620.png,30,30,30,30,OK,,,,
00621.png,14,14,14,14,OK,,,,
00622.png,1,1,1,1,OK,,,,
00623.png,12,12,12,12,OK,,,,
00624.png,7,7,7,7,OK,,,,
00625.png,13,13,13,13,OK,,,,
00626.png,28,28,28,28,OK,,,,
00627.png,8,8,8,8,OK,,,,
00628.png,2,2,2,2,OK,,,,
00629.png,17,17,17,17,OK,,,,
00630.png,5,5,5,5,OK,,,,
00631.png,35,35,35,35,OK,,,,
00632.png,25,25,25,25,OK,,,,
00633.png,8,8,8,8,OK,,,,
00634.png,4,4,4,4,OK,,,,
00635.png,7,7,7,7,OK,,,,
00636.png,16,16,16,16,OK,,,,
00637.png,29,29,29,29,OK,,,,
00638.png,17,17,17,17,OK,,,,
00639.png,9,9,9,9,OK,,,,
00640.png,7,7,7,7,OK,,,,
00641.png,8,8,8,8,OK,,,,
00642.png,17,17,17,17,OK,,,,
00643.png,11,11,11,11,OK,,,,
00644.png,2,2,2,2,OK,,,,
00645.png,13,13,13,13,OK,,,,
00646.png,12,12,12,12,OK,,,,
00647.png,7,7,7,7,OK,,,,
00648.png,1,1,1,1,OK,,,,
00649.png,2,2,2,2,OK,,,,
00650.png,32,32,32,32,OK,,,,
00651.png,17,17,17,17,OK,,,,
00652.png,13,13,13,13,OK,,,,
00653.png,5,5,5,5,OK,,,,
00654.png,12,12,12,12,OK,,,,
00655.png,11,11,11,11,OK,,,,
00656.png,29,29,29,29,OK,,,,
00657.png,13,13,13,13,OK,,,,
00658.png,13,13,13,13,OK,,,,
00659.png,10,10,10,10,OK,,,,
00660.png,5,5,5,5,OK,,,,
00661.png,13,13,13,13,OK,,,,
00662.png,2,2,2,2,OK,,,,
00663.png,7,7,7,7,OK,,,,
00664.png,13,13,13,13,OK,,,,
00665.png,10,10,10,10,OK,,,,
00666.png,14,14,14,14,OK,,,,
00667.png,13,13,13,13,OK,,,,
00668.png,11,11,11,11,OK,,,,
00669.png,4,4,4,4,OK,,,,
00670.png,15,15,15,15,OK,,,,
00671.png,10,10,10,10,OK,,,,
00672.png,36,36,36,36,OK,,,,
00673.png,35,35,35,35,OK,,,,
00674.png,26,26,26,26,OK,,,,
00675.png,0,0,0,0,OK,,,,
00676.png,25,25,25,25,OK,,,,
00677.png,18,18,18,18,OK,,,,
00678.png,29,29,29,29,OK,,,,
00679.png,8,8,8,8,OK,,,,
00680.png,13,13,13,13,OK,,,,
00681.png,14,14,14,14,OK,,,,
00682.png,34,35,35,35,KO,,,,
00683.png,12,12,12,12,OK,,,,
00684.png,35,35,35,35,OK,,,,
00685.png,35,35,35,35,OK,,,,
00686.png,14,14,14,14,OK,,,,
00687.png,25,25,25,25,OK,,,,
00688.png,17,17,17,17,OK,,,,
00689.png,34,34,34,34,OK,,,,
00690.png,5,5,5,5,OK,,,,
00691.png,4,4,4,4,OK,,,,
00692.png,4,4,4,4,OK,,,,
00693.png,13,13,13,13,OK,,,,
00694.png,29,29,29,29,OK,,,,
00695.png,4,4,4,4,OK,,,,
00696.png,5,5,5,5,OK,,,,
