id,홍,태훈,수환,철승,result,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
00055.png,35,35,35,35,OK,,,,35.0
00056.png,5,5,5,5,OK,,,,5.0
00057.png,26,26,26,26,OK,,,,26.0
00058.png,9,9,9,9,OK,,,,9.0
00059.png,16,16,16,16,OK,,,,16.0
00060.png,38,38,38,38,OK,,,,38.0
00061.png,10,10,10,10,OK,,,,10.0
00062.png,4,4,4,4,OK,,,,4.0
00063.png,9,9,9,9,OK,,,,9.0
00064.png,15,15,15,15,OK,,,,15.0
00065.png,9,9,9,9,OK,,,,9.0
00066.png,26,26,26,26,OK,,,,26.0
00067.png,2,2,2,2,OK,,,,2.0
00068.png,5,5,5,5,OK,,,,5.0
00069.png,28,28,28,28,OK,,,,28.0
00070.png,11,11,11,11,OK,,,,11.0
00071.png,25,25,25,25,OK,,,,25.0
00072.png,30,30,11,11,KO,,,,30.0
00073.png,34,34,34,34,OK,,,,34.0
00074.png,5,5,5,5,OK,,,,5.0
00075.png,12,12,12,12,OK,,,,12.0
00076.png,1,1,1,1,OK,,,,1.0
00077.png,10,10,10,10,OK,,,,10.0
00078.png,25,25,25,25,OK,,,,25.0
00079.png,25,25,25,25,OK,,,,25.0
00080.png,21,21,21,21,OK,,,,21.0
00081.png,33,33,33,33,OK,,,,33.0
00082.png,25,25,25,25,OK,,,,25.0
00083.png,7,7,7,7,OK,,,,7.0
00084.png,10,10,10,10,OK,,,,10.0
00085.png,35,35,35,35,OK,,,,35.0
00086.png,3,3,3,3,OK,,,,3.0
00087.png,7,7,7,7,OK,,,,7.0
00088.png,22,22,22,22,OK,,,,22.0
00089.png,13,13,13,13,OK,,,,13.0
00090.png,3,3,3,3,OK,,,,3.0
00091.png,1,1,1,1,OK,,,,1.0
00092.png,2,2,2,2,OK,,,,2.0
00093.png,14,14,14,14,OK,,,,14.0
00094.png,12,12,12,12,OK,,,,12.0
00095.png,32,32,32,32,OK,,,,32.0
00096.png,3,3,3,3,OK,,,,3.0
00097.png,38,38,38,38,OK,,,,38.0
00098.png,9,9,9,9,OK,,,,9.0
00099.png,33,33,33,33,OK,,,,33.0
00100.png,1,1,1,1,OK,,,,1.0
00101.png,10,10,10,10,OK,,,,10.0
00102.png,5,5,5,5,OK,,,,5.0
00103.png,11,11,11,11,OK,,,,11.0
00104.png,33,33,33,33,OK,,,,33.0
00105.png,4,4,4,4,OK,,,,4.0
00106.png,35,35,35,35,OK,,,,35.0
00107.png,25,25,25,25,OK,,,,25.0
00108.png,33,33,33,33,OK,,,,33.0
00109.png,4,4,4,4,OK,,,,4.0
00110.png,1,1,1,1,OK,,,,1.0
00111.png,14,14,14,14,OK,,,,14.0
00112.png,16,16,16,16,OK,,,,16.0
00113.png,10,10,10,10,OK,,,,10.0
00114.png,30,11,30,30,KO,,,,11.0
00115.png,3,3,3,3,OK,,,,3.0
00116.png,27,27,27,27,OK,,,,27.0
00117.png,29,29,29,29,OK,,,,29.0
00118.png,1,1,1,1,OK,,,,1.0
00119.png,17,17,17,17,OK,,,,17.0
00120.png,13,13,13,13,OK,,,,13.0
00121.png,7,7,7,7,OK,,,,7.0
00122.png,1,1,1,1,OK,,,,1.0
00123.png,8,8,8,8,OK,,,,8.0
00124.png,2,2,2,2,OK,,,,2.0
00125.png,10,10,10,10,OK,,,,10.0
00126.png,10,10,10,10,OK,,,,10.0
00127.png,11,25,11,30,KO,,,,11.0
00128.png,1,1,1,1,OK,,,,1.0
00129.png,6,6,6,6,OK,,,,6.0
00130.png,36,36,36,36,OK,,,,36.0
00131.png,3,3,3,3,OK,,,,3.0
00132.png,14,14,14,14,OK,,,,14.0
00133.png,13,13,13,13,OK,,,,13.0
00134.png,11,11,11,11,OK,,,,11.0
00135.png,10,10,10,10,OK,,,,10.0
00136.png,18,18,18,18,OK,,,,18.0
00137.png,40,40,40,40,OK,,,,40.0
00138.png,2,2,2,2,OK,,,,2.0
00139.png,38,38,38,38,OK,,,,38.0
00140.png,41,41,41,41,OK,,,,41.0
00141.png,4,4,4,4,OK,,,,4.0
00142.png,6,6,6,6,OK,,,,6.0
00143.png,18,18,18,18,OK,,,,18.0
00144.png,17,17,17,17,OK,,,,17.0
00145.png,25,25,25,25,OK,,,,25.0
00146.png,2,2,2,2,OK,,,,2.0
00147.png,41,41,41,41,OK,,,,41.0
00148.png,11,11,11,11,OK,,,,11.0
00149.png,21,21,21,21,OK,,,,21.0
00150.png,7,7,7,7,OK,,,,7.0
00151.png,24,24,24,24,OK,,,,24.0
00152.png,11,11,11,11,OK,,,,11.0
00153.png,25,25,25,25,OK,,,,25.0
00154.png,17,17,17,17,OK,,,,17.0
00155.png,3,3,3,3,OK,,,,3.0
00156.png,6,6,6,6,OK,,,,6.0
00157.png,9,9,9,9,OK,,,,9.0
00158.png,7,7,7,7,OK,,,,7.0
00159.png,4,4,4,4,OK,,,,4.0
00160.png,13,13,13,13,OK,,,,13.0
00161.png,16,16,16,16,OK,,,,16.0
00162.png,4,4,4,4,OK,,,,4.0
00163.png,25,25,25,25,OK,,,,25.0
00164.png,18,18,18,18,OK,,,,18.0
00165.png,9,9,9,9,OK,,,,9.0
00166.png,13,13,13,13,OK,,,,13.0
00167.png,14,14,14,14,OK,,,,14.0
00168.png,29,29,29,29,OK,,,,29.0
00169.png,17,17,17,17,OK,,,,17.0
00170.png,13,13,13,13,OK,,,,13.0
00171.png,38,38,38,38,OK,,,,38.0
00172.png,26,26,26,26,OK,,,,26.0
00173.png,25,25,25,25,OK,,,,25.0
00174.png,33,33,33,33,OK,,,,33.0
00175.png,1,1,1,1,OK,,,,1.0
00176.png,3,3,3,3,OK,,,,3.0
00177.png,40,40,40,40,OK,,,,40.0
00178.png,13,13,13,13,OK,,,,13.0
00179.png,2,2,2,2,OK,,,,2.0
00180.png,8,8,8,8,OK,,,,8.0
00181.png,4,4,4,4,OK,,,,4.0
00182.png,36,36,36,36,OK,,,,36.0
00183.png,25,25,25,25,OK,,,,25.0
00184.png,20,20,20,20,OK,,,,20.0
00185.png,25,25,25,25,OK,,,,25.0
00186.png,18,18,18,18,OK,,,,18.0
00187.png,1,1,1,1,OK,,,,1.0
00188.png,10,10,10,10,OK,,,,10.0
00189.png,8,8,8,8,OK,,,,8.0
00190.png,10,10,10,10,OK,,,,10.0
00191.png,29,29,29,29,OK,,,,29.0
00192.png,12,12,12,12,OK,,,,12.0
00193.png,38,38,38,38,OK,,,,38.0
00194.png,31,31,31,31,OK,,,,31.0
00195.png,2,2,2,2,OK,,,,2.0
00196.png,8,8,8,8,OK,,,,8.0
00197.png,38,38,38,38,OK,,,,38.0
00198.png,18,18,18,18,OK,,,,18.0
00199.png,28,28,28,28,OK,,,,28.0
00200.png,17,17,17,17,OK,,,,17.0
00201.png,9,9,9,9,OK,,,,9.0
00202.png,4,4,4,4,OK,,,,4.0
00203.png,1,1,1,1,OK,,,,1.0
00204.png,17,17,17,17,OK,,,,17.0
00205.png,9,9,9,9,OK,,,,9.0
00206.png,2,2,2,2,OK,,,,2.0
00207.png,31,31,31,31,OK,,,,31.0
00208.png,13,13,13,13,OK,,,,13.0
00209.png,15,15,15,15,OK,,,,15.0
00210.png,15,15,15,15,OK,,,,15.0
00211.png,38,38,38,38,OK,,,,38.0
00212.png,25,25,25,25,OK,,,,25.0
00213.png,5,5,5,5,OK,,,,5.0
00214.png,25,25,25,25,OK,,,,25.0
00215.png,13,13,13,13,OK,,,,13.0
00216.png,10,10,10,10,OK,,,,10.0
00217.png,5,5,5,5,OK,,,,5.0
00218.png,4,4,4,4,OK,,,,4.0
00219.png,10,10,10,10,OK,,,,10.0
00220.png,2,2,2,2,OK,,,,2.0
00221.png,4,4,4,4,OK,,,,4.0
00222.png,5,5,5,5,OK,,,,5.0
00223.png,1,1,1,1,OK,,,,1.0
00224.png,14,14,14,14,OK,,,,14.0
00225.png,12,12,12,12,OK,,,,12.0
00226.png,12,12,12,12,OK,,,,12.0
00227.png,5,5,5,5,OK,,,,5.0
00228.png,8,8,8,8,OK,,,,8.0
00229.png,36,36,36,36,OK,,,,36.0
00230.png,25,25,25,25,OK,,,,25.0
00231.png,13,13,13,13,OK,,,,13.0
00232.png,33,33,33,33,OK,,,,33.0
00233.png,18,18,18,18,OK,,,,18.0
00234.png,33,33,33,33,OK,,,,33.0
00235.png,19,19,19,19,OK,,,,19.0
00236.png,12,12,12,12,OK,,,,12.0
00237.png,30,11,11,11,KO,,,,20.0
00238.png,4,4,4,4,OK,,,,4.0
00239.png,18,18,18,18,OK,,,,18.0
00240.png,12,12,12,12,OK,,,,12.0
00241.png,13,13,13,13,OK,,,,13.0
00242.png,20,20,20,20,OK,,,,20.0
00243.png,0,0,0,0,OK,,,,0.0
00244.png,10,10,10,10,OK,,,,10.0
00245.png,40,40,40,40,OK,,,,40.0
00246.png,5,5,5,5,OK,,,,5.0
00247.png,8,8,8,8,OK,,,,8.0
00248.png,12,12,12,12,OK,,,,12.0
00249.png,38,38,38,38,OK,,,,38.0
00250.png,20,20,20,20,OK,,,,20.0
00251.png,14,14,14,14,OK,,,,14.0
00252.png,0,0,0,0,OK,,,,0.0
00253.png,36,36,36,36,OK,,,,36.0
00254.png,34,34,34,34,OK,,,,34.0
00255.png,28,28,28,28,OK,,,,28.0
00256.png,35,35,35,35,OK,,,,35.0
00257.png,13,13,13,13,OK,,,,13.0
00258.png,25,25,25,25,OK,,,,25.0
00259.png,15,15,15,15,OK,,,,15.0
00260.png,35,35,35,35,OK,,,,35.0
00261.png,14,14,14,14,OK,,,,14.0
00262.png,18,18,18,18,OK,,,,18.0
00263.png,25,25,25,25,OK,,,,25.0
00264.png,1,1,1,1,OK,,,,1.0
00265.png,12,12,12,12,OK,,,,12.0
00266.png,5,5,5,5,OK,,,,5.0
00267.png,25,25,25,25,OK,,,,25.0
00268.png,2,2,2,2,OK,,,,2.0
00269.png,18,18,18,18,OK,,,,18.0
00270.png,18,18,18,18,OK,,,,18.0
00271.png,18,18,18,18,OK,,,,18.0
00272.png,34,34,34,34,OK,,,,34.0
00273.png,9,9,9,9,OK,,,,9.0
00274.png,25,25,25,25,OK,,,,25.0
00275.png,18,18,18,18,OK,,,,18.0
00276.png,34,34,34,34,OK,,,,34.0
00277.png,39,39,39,39,OK,,,,39.0
00278.png,31,31,31,31,OK,,,,31.0
00279.png,1,1,1,1,OK,,,,1.0
00280.png,9,9,9,9,OK,,,,9.0
00281.png,35,35,35,35,OK,,,,35.0
00282.png,31,31,31,31,OK,,,,31.0
00283.png,26,26,26,26,OK,,,,26.0
00284.png,1,1,1,1,OK,,,,1.0
00285.png,1,1,1,1,OK,,,,1.0
00286.png,33,33,33,33,OK,,,,33.0
00287.png,30,30,11,11,KO,,,,30.0
00288.png,17,17,17,17,OK,,,,17.0
00289.png,13,13,13,13,OK,,,,13.0
00290.png,1,1,1,1,OK,,,,1.0
00291.png,31,31,31,31,OK,,,,31.0
00292.png,13,13,13,13,OK,,,,13.0
00293.png,35,35,35,35,OK,,,,35.0
00294.png,5,5,5,5,OK,,,,5.0
00295.png,1,1,1,1,OK,,,,1.0
00296.png,33,33,33,33,OK,,,,33.0
00297.png,28,28,28,28,OK,,,,28.0
00298.png,35,35,35,35,OK,,,,35.0
00299.png,26,26,26,26,OK,,,,26.0
00300.png,12,12,12,12,OK,,,,12.0
00301.png,5,5,5,5,OK,,,,5.0
00302.png,2,2,2,2,OK,,,,2.0
00303.png,14,14,14,14,OK,,,,14.0
00304.png,4,4,4,4,OK,,,,4.0
00305.png,3,3,3,3,OK,,,,3.0
00306.png,32,32,32,32,OK,,,,32.0
00307.png,1,1,1,1,OK,,,,1.0
00308.png,7,7,7,7,OK,,,,7.0
00309.png,40,38,38,38,KO,,,,38.0
00310.png,19,19,19,19,OK,,,,19.0
00311.png,11,11,11,11,OK,,,,11.0
00312.png,38,38,38,38,OK,,,,38.0
00313.png,38,38,38,38,OK,,,,38.0
00314.png,1,1,1,1,OK,,,,1.0
00315.png,42,42,42,42,OK,,,,42.0
00316.png,2,2,2,2,OK,,,,2.0
00317.png,40,40,40,40,OK,,,,40.0
00318.png,17,17,17,17,OK,,,,17.0
00319.png,4,4,4,4,OK,,,,4.0
00320.png,8,8,8,8,OK,,,,8.0
00321.png,4,4,4,4,OK,,,,4.0
00322.png,5,5,5,5,OK,,,,5.0
00323.png,6,6,6,6,OK,,,,6.0
00324.png,31,31,31,31,OK,,,,31.0
00325.png,35,35,35,35,OK,,,,35.0
00326.png,9,9,9,9,OK,,,,9.0
00327.png,38,38,38,38,OK,,,,38.0
00328.png,8,8,8,8,OK,,,,8.0
00329.png,2,2,2,2,OK,,,,2.0
00330.png,4,4,4,4,OK,,,,4.0
00331.png,18,18,18,18,OK,,,,18.0
00332.png,3,3,3,3,OK,,,,3.0
00333.png,25,25,25,25,OK,,,,25.0
00334.png,10,10,10,10,OK,,,,10.0
00335.png,6,42,42,6,KO,,,,42.0
00336.png,7,7,7,7,OK,,,,7.0
00337.png,34,34,34,34,OK,,,,34.0
00338.png,4,4,4,4,OK,,,,4.0
00339.png,25,25,25,25,OK,,,,25.0
00340.png,10,10,10,10,OK,,,,10.0
00341.png,29,29,29,29,OK,,,,29.0
00342.png,9,9,9,9,OK,,,,9.0
00343.png,2,2,2,2,OK,,,,2.0
00344.png,38,38,38,38,OK,,,,38.0
00345.png,38,38,38,38,OK,,,,38.0
00346.png,18,18,18,18,OK,,,,18.0
00347.png,7,7,7,7,OK,,,,7.0
00348.png,13,13,13,13,OK,,,,13.0
00349.png,28,28,28,28,OK,,,,28.0
00350.png,17,17,17,17,OK,,,,17.0
00351.png,2,2,2,2,OK,,,,2.0
00352.png,16,16,16,16,OK,,,,16.0
00353.png,14,14,14,14,OK,,,,14.0
00354.png,12,12,12,12,OK,,,,12.0
00355.png,40,40,40,40,OK,,,,40.0
00356.png,35,35,35,35,OK,,,,35.0
00357.png,3,3,3,3,OK,,,,3.0
00358.png,40,38,38,38,KO,,,,38.0
00359.png,10,10,10,10,OK,,,,10.0
00360.png,9,9,9,9,OK,,,,9.0
00361.png,38,38,38,38,OK,,,,38.0
00362.png,13,13,13,13,OK,,,,13.0
00363.png,39,39,39,39,OK,,,,39.0
00364.png,3,3,3,3,OK,,,,3.0
00365.png,11,11,11,11,OK,,,,11.0
00366.png,7,7,7,7,OK,,,,7.0
00367.png,38,38,38,38,OK,,,,38.0
00368.png,19,19,19,19,OK,,,,19.0
00369.png,13,13,13,13,OK,,,,13.0
00370.png,10,10,10,10,OK,,,,10.0
00371.png,18,18,18,18,OK,,,,18.0
00372.png,3,3,3,3,OK,,,,3.0
00373.png,5,5,5,5,OK,,,,5.0
00374.png,26,26,26,26,OK,,,,26.0
00375.png,1,1,1,1,OK,,,,1.0
00376.png,41,41,41,41,OK,,,,41.0
00377.png,13,13,13,13,OK,,,,13.0
00378.png,1,1,1,1,OK,,,,1.0
00379.png,18,18,18,18,OK,,,,18.0
00380.png,19,19,19,19,OK,,,,19.0
00381.png,13,13,13,13,OK,,,,13.0
00382.png,38,38,38,38,OK,,,,38.0
00383.png,4,4,4,4,OK,,,,4.0
00384.png,35,35,35,35,OK,,,,35.0
00385.png,25,25,25,25,OK,,,,25.0
00386.png,34,34,34,34,OK,,,,34.0
00387.png,12,12,12,12,OK,,,,12.0
00388.png,17,17,17,17,OK,,,,17.0
00389.png,9,9,9,9,OK,,,,9.0
00390.png,4,4,4,4,OK,,,,4.0
00391.png,33,33,33,33,OK,,,,33.0
00392.png,28,28,28,28,OK,,,,28.0
00393.png,2,2,2,2,OK,,,,2.0
00394.png,4,1,1,1,KO,,,,1.0
00395.png,5,5,5,5,OK,,,,5.0
00396.png,4,4,4,4,OK,,,,4.0
00397.png,38,38,38,38,OK,,,,38.0
00398.png,4,4,4,4,OK,,,,4.0
00399.png,12,12,12,12,OK,,,,12.0
00400.png,38,38,38,38,OK,,,,38.0
00401.png,36,36,36,36,OK,,,,36.0
00402.png,10,10,10,10,OK,,,,10.0
00403.png,0,0,0,0,OK,,,,0.0
00404.png,38,38,38,38,OK,,,,38.0
00405.png,36,36,36,36,OK,,,,36.0
00406.png,8,8,8,8,OK,,,,8.0
00407.png,25,25,25,25,OK,,,,25.0
00408.png,5,5,5,5,OK,,,,5.0
00409.png,2,2,2,2,OK,,,,2.0
00410.png,25,25,25,25,OK,,,,25.0
00411.png,14,14,14,14,OK,,,,14.0
00412.png,2,2,2,2,OK,,,,2.0
00413.png,26,26,26,26,OK,,,,26.0
00414.png,29,29,29,29,OK,,,,29.0
00415.png,10,10,10,10,OK,,,,10.0
00416.png,10,10,10,10,OK,,,,10.0
00417.png,14,14,14,14,OK,,,,14.0
00418.png,9,9,9,9,OK,,,,9.0
00419.png,2,2,2,2,OK,,,,2.0
00420.png,3,3,3,3,OK,,,,3.0
00421.png,4,4,4,4,OK,,,,4.0
00422.png,19,19,19,19,OK,,,,19.0
00423.png,9,9,9,9,OK,,,,9.0
00424.png,10,10,10,10,OK,,,,10.0
00425.png,13,13,13,13,OK,,,,13.0
00426.png,13,13,13,13,OK,,,,13.0
00427.png,20,20,20,20,OK,,,,20.0
00428.png,38,38,38,38,OK,,,,38.0
00429.png,34,34,34,34,OK,,,,34.0
00430.png,11,11,11,11,OK,,,,11.0
00431.png,13,13,13,13,OK,,,,13.0
00432.png,34,34,34,34,OK,,,,34.0
00433.png,34,34,34,34,OK,,,,34.0
00434.png,12,12,12,12,OK,,,,12.0
00435.png,6,6,6,6,OK,,,,6.0
00436.png,10,10,10,10,OK,,,,10.0
00437.png,10,10,10,10,OK,,,,10.0
00438.png,8,8,8,8,OK,,,,8.0
00439.png,3,3,3,3,OK,,,,3.0
00440.png,22,22,22,22,OK,,,,22.0
00441.png,17,17,17,17,OK,,,,17.0
00442.png,7,7,7,7,OK,,,,7.0
00443.png,30,30,30,30,OK,,,,30.0
00444.png,25,25,25,25,OK,,,,25.0
00445.png,1,1,1,1,OK,,,,1.0
00446.png,31,31,31,31,OK,,,,31.0
00447.png,38,38,38,38,OK,,,,38.0
00448.png,38,38,38,38,OK,,,,38.0
00449.png,8,8,8,8,OK,,,,8.0
00450.png,9,9,9,9,OK,,,,9.0
00451.png,10,10,10,10,OK,,,,10.0
00452.png,2,2,2,2,OK,,,,2.0
00453.png,40,40,40,40,OK,,,,40.0
00454.png,1,1,1,1,OK,,,,1.0
00455.png,38,38,38,38,OK,,,,38.0
00456.png,14,14,14,14,OK,,,,14.0
00457.png,8,8,8,8,OK,,,,8.0
00458.png,39,39,39,39,OK,,,,39.0
00459.png,6,6,6,6,OK,,,,6.0
00460.png,35,35,35,35,OK,,,,35.0
00461.png,25,25,25,25,OK,,,,25.0
00462.png,25,25,25,25,OK,,,,25.0
00463.png,17,17,17,17,OK,,,,17.0
00464.png,2,2,2,2,OK,,,,2.0
00465.png,38,38,38,38,OK,,,,38.0
00466.png,7,7,7,7,OK,,,,7.0
00467.png,13,13,13,13,OK,,,,13.0
00468.png,14,14,14,14,OK,,,,14.0
00469.png,7,7,7,7,OK,,,,7.0
00470.png,8,8,8,8,OK,,,,8.0
00471.png,35,35,35,35,OK,,,,35.0
00472.png,3,3,3,3,OK,,,,3.0
00473.png,1,1,1,1,OK,,,,1.0
00474.png,35,35,35,35,OK,,,,35.0
00475.png,12,12,12,12,OK,,,,12.0
00476.png,35,35,35,35,OK,,,,35.0
00477.png,36,36,36,36,OK,,,,36.0
00478.png,24,24,24,24,OK,,,,24.0
00479.png,13,13,13,13,OK,,,,13.0
00480.png,33,33,33,33,OK,,,,33.0
00481.png,2,2,2,2,OK,,,,2.0
00482.png,35,35,35,35,OK,,,,35.0
00483.png,6,6,6,6,OK,,,,6.0
00484.png,2,2,2,2,OK,,,,2.0
00485.png,10,10,10,10,OK,,,,10.0
00486.png,12,12,12,12,OK,,,,12.0
00487.png,31,31,31,31,OK,,,,31.0
00488.png,9,9,9,9,OK,,,,9.0
00489.png,14,14,14,14,OK,,,,14.0
00490.png,17,17,17,17,OK,,,,17.0
00491.png,26,26,26,26,OK,,,,26.0
00492.png,7,7,7,2,KO,,,,4.0
00493.png,3,3,3,3,OK,,,,3.0
00494.png,10,10,10,10,OK,,,,10.0
00495.png,5,5,5,5,OK,,,,5.0
00496.png,11,11,11,11,OK,,,,11.0
00497.png,9,9,9,9,OK,,,,9.0
00498.png,31,31,31,31,OK,,,,31.0
00499.png,40,40,40,40,OK,,,,40.0
00500.png,22,22,22,22,OK,,,,22.0
00501.png,30,30,30,30,OK,,,,30.0
00502.png,9,9,9,9,OK,,,,9.0
00503.png,7,7,7,7,OK,,,,7.0
00504.png,23,23,23,23,OK,,,,23.0
00505.png,4,4,4,4,OK,,,,4.0
00506.png,32,32,32,32,OK,,,,32.0
00507.png,42,42,42,42,OK,,,,42.0
00508.png,1,1,1,1,OK,,,,1.0
00509.png,3,3,3,3,OK,,,,3.0
00510.png,8,8,8,8,OK,,,,8.0
00511.png,2,2,2,2,OK,,,,2.0
00512.png,25,25,25,25,OK,,,,25.0
00513.png,22,22,22,25,KO,,,,22.0
00514.png,38,38,38,38,OK,,,,38.0
00515.png,33,33,33,33,OK,,,,33.0
00516.png,3,3,3,3,OK,,,,3.0
00517.png,1,1,1,1,OK,,,,1.0
00518.png,8,8,8,8,OK,,,,8.0
00519.png,4,4,4,4,OK,,,,4.0
00520.png,18,18,18,18,OK,,,,18.0
00521.png,26,26,26,26,OK,,,,26.0
00522.png,31,31,31,31,OK,,,,31.0
00523.png,14,14,14,14,OK,,,,14.0
00524.png,11,11,11,11,OK,,,,11.0
00525.png,13,13,13,13,OK,,,,13.0
00526.png,3,3,3,3,OK,,,,3.0
00527.png,5,5,5,5,OK,,,,5.0
00528.png,18,18,18,18,OK,,,,18.0
00529.png,4,4,4,4,OK,,,,4.0
00530.png,13,13,13,13,OK,,,,13.0
00531.png,15,15,15,15,OK,,,,15.0
00532.png,23,23,23,23,OK,,,,23.0
00533.png,1,1,1,1,OK,,,,1.0
00534.png,12,12,12,12,OK,,,,12.0
00535.png,31,31,31,31,OK,,,,31.0
00536.png,38,38,38,38,OK,,,,38.0
00537.png,6,6,6,6,OK,,,,6.0
00538.png,10,10,10,10,OK,,,,10.0
00539.png,35,35,35,35,OK,,,,35.0
00540.png,8,8,8,8,OK,,,,8.0
00541.png,6,6,6,6,OK,,,,6.0
00542.png,5,5,5,5,OK,,,,5.0
00543.png,12,12,12,12,OK,,,,12.0
00544.png,4,4,4,4,OK,,,,4.0
00545.png,1,1,1,1,OK,,,,1.0
00546.png,1,1,1,1,OK,,,,1.0
00547.png,1,1,1,1,OK,,,,1.0
00548.png,12,12,12,12,OK,,,,12.0
00549.png,12,12,12,12,OK,,,,12.0
00550.png,2,2,4,2,KO,,,,23.0
00551.png,5,5,5,5,OK,,,,5.0
00552.png,9,9,9,9,OK,,,,9.0
00553.png,13,13,13,13,OK,,,,13.0
00554.png,38,38,38,38,OK,,,,38.0
00555.png,4,4,4,4,OK,,,,4.0
00556.png,13,13,13,13,OK,,,,13.0
00557.png,8,8,8,8,OK,,,,8.0
00558.png,13,13,13,13,OK,,,,13.0
00559.png,24,24,24,24,OK,,,,24.0
00560.png,17,17,17,17,OK,,,,17.0
00561.png,10,10,10,10,OK,,,,10.0
00562.png,10,10,10,10,OK,,,,10.0
00563.png,18,18,18,18,OK,,,,18.0
00564.png,12,12,12,12,OK,,,,12.0
00565.png,23,23,23,23,OK,,,,23.0
00566.png,10,10,10,10,OK,,,,10.0
00567.png,10,10,10,10,OK,,,,10.0
00568.png,1,1,1,1,OK,,,,1.0
00569.png,23,23,23,23,OK,,,,23.0
00570.png,3,3,3,3,OK,,,,3.0
00571.png,8,8,8,8,OK,,,,8.0
00572.png,41,41,41,41,OK,,,,41.0
00573.png,6,6,6,6,OK,,,,6.0
00574.png,13,13,13,13,OK,,,,13.0
00575.png,33,33,33,33,OK,,,,33.0
00576.png,3,3,3,3,OK,,,,3.0
00577.png,2,2,2,2,OK,,,,2.0
00578.png,13,13,13,13,OK,,,,13.0
00579.png,0,0,0,0,OK,,,,0.0
00580.png,17,17,17,17,OK,,,,17.0
00581.png,10,10,10,10,OK,,,,10.0
00582.png,7,7,7,7,OK,,,,7.0
00583.png,1,1,1,1,OK,,,,1.0
00584.png,35,35,35,35,OK,,,,35.0
00585.png,10,10,10,10,OK,,,,10.0
00586.png,2,2,2,2,OK,,,,2.0
00587.png,30,30,30,30,OK,,,,30.0
00588.png,5,5,5,5,OK,,,,5.0
00589.png,5,5,5,5,OK,,,,5.0
00590.png,35,35,35,35,OK,,,,35.0
00591.png,13,13,13,13,OK,,,,13.0
00592.png,16,16,16,16,OK,,,,16.0
00593.png,17,17,17,17,OK,,,,17.0
00594.png,11,11,11,11,OK,,,,11.0
00595.png,3,3,3,3,OK,,,,3.0
00596.png,4,4,4,4,OK,,,,4.0
00597.png,29,29,29,29,OK,,,,29.0
00598.png,2,2,2,2,OK,,,,2.0
00599.png,26,26,26,26,OK,,,,26.0
00600.png,2,2,2,2,OK,,,,2.0
00601.png,11,11,11,11,OK,,,,11.0
00602.png,4,4,4,4,OK,,,,4.0
00603.png,19,19,19,19,OK,,,,19.0
